package_name,latest_version
types-aiobotocore-sagemaker,3.3.0
kimi-cli,1.25.0
fast-langdetect,1.0.0
llama-index-vector-stores-azureaisearch,0.5.0
asyncinotify,4.4.0
fireworks-ai,0.19.20
aspose-words,26.3.0
aws-cdk-aws-signer,1.204.0
dagster-snowflake,0.28.20
multiping,1.1.2
scarf-sdk,0.2.1
drf-api-logger,1.1.21
mypy-boto3-kendra,1.42.3
torch-pitch-shift,1.2.5
flask-apscheduler,1.13.1
clip-anytorch,2.6.0
django-htmlmin,0.11.0
azure-mgmt-marketplaceordering,1.1.0
great-expectations-experimental,0.1.20240917055
mypy-boto3-mediapackage,1.42.3
azure-mgmt-iothub,4.0.0
azure-mgmt-trafficmanager,1.1.0
azure-mgmt,5.0.0
compiledb,0.10.7
marshmallow-enum,1.5.1
uritools,6.0.1
types-aiobotocore-codestar-connections,3.3.0
torchinfo,1.8.0
snakemake-interface-common,1.23.0
csvw,3.7.0
backports-functools-lru-cache,2.0.0
types-aiobotocore-redshift,3.3.0
flare-capa,9.3.1
types-aiobotocore-cloudhsm,3.3.0
awslabs-aws-healthomics-mcp-server,0.0.31
types-aiobotocore-databrew,3.3.0
md2pdf,3.1.0
py3nvml,0.2.7
str2bool,1.1
pscript,0.8.0
canmatrix,1.2
cligj,0.7.2
aiologic,0.16.0
mkdocs-bibtex,4.4.0
isocodes,2025.8.25
mypy-boto3-location,1.42.3
types-aiobotocore-finspace,3.3.0
imscore,0.0.11
edx-completion,4.9
upstash-redis,1.7.0
mypy-boto3-vpc-lattice,1.42.3
eel,0.18.2
slowapi,0.1.9
types-aiobotocore-networkmanager,3.3.0
parse-type,0.6.6
quadprog,0.1.13
azure-ai-translation-text,1.0.1
mediatype,0.1.6
mypy-boto3-sagemaker-edge,1.42.3
dbt-osmosis,1.2.2
certbot-dns-route53,5.4.0
mypy-boto3-application-insights,1.42.3
markdown-graphviz-inline,1.1.3
unidep,2.1.0
eigenpy,3.12.0
types-aiobotocore-appsync,3.3.0
downstream,1.22.0
govuk-bank-holidays,0.19
vonage-jwt,1.1.5
mypy-boto3-chime-sdk-identity,1.42.3
checkdigit,0.5.0
tentaclio,1.4.1
adafruit-platformdetect,3.88.0
azure-cognitiveservices-knowledge-qnamaker,0.3.1
rtfparse,0.9.5
llama-index-indices-managed-llama-cloud,0.11.0
uvicorn-worker,0.4.0
snappy-manifolds,1.4
persistence,5.4
broadcaster,0.3.1
haystack-ai,2.26.1
mypy-boto3-s3outposts,1.42.3
ultralytics,8.4.26
mypy-boto3-support-app,1.42.3
django-bootstrap4,26.1
icdiff,2.0.10
types-aiobotocore-finspace-data,3.3.0
types-aiobotocore-mediastore-data,3.3.0
mypy-boto3-iotanalytics,1.42.3
quickjs,1.19.4
numerary,0.4.4
torchsummary,1.5.1
azure-ai-projects,2.0.1
pysodium,0.7.18
opentelemetry-semantic-conventions-ai,0.5.0
llama-index-readers-google,0.7.2
uipath-platform,0.1.4
meshio,5.3.5
pyexcel-ods3,0.6.1
django-tinymce,5.0.0
types-aiobotocore-applicationcostprofiler,3.3.0
vws-python,2026.2.25.1
qasync,0.28.0
types-aiobotocore-amplifybackend,3.3.0
apache-libcloud,3.9.0
newsapi-python,0.2.7
mypy-boto3-connectcases,1.42.74
azurefunctions-extensions-base,1.1.0
types-aiobotocore-kinesisanalyticsv2,3.3.0
m2crypto,0.47.0
types-aiobotocore-sdb,3.3.0
fhirclient,4.4.0
maco-extractor,1.2.23
vonage-video,1.5.1
cloudsearch,0.0.12
lime,0.2.0.1
cxxfilt,0.3.0
os-client-config,2.3.0
autoevals,0.1.0
pyzxing,1.1.1
